s,i,success,false,success2,false2
1.7,10,1,0,1,0
1.75,0,0,1,0,1
1.75,1,1,9,1,9
1.75,2,9,36,9,36
1.75,3,36,84,36,84
1.75,4,84,126,84,126
1.75,5,126,126,126,126
1.75,6,126,84,126,84
1.75,7,84,36,84,36
1.75,8,36,9,36,9
1.75,9,9,1,9,1
1.75,10,1,0,1,0
1.8,0,0,1,0,1
1.8,1,1,9,1,9
1.8,2,9,36,9,36
1.8,3,36,84,36,84
1.8,4,84,126,84,126
1.8,5,126,126,126,126
1.8,6,126,84,126,84
1.8,7,84,36,84,36
1.8,8,36,9,36,9
1.8,9,9,1,9,1
1.8,10,1,0,1,0
1.85,0,0,1,0,1
1.85,1,1,9,1,9
1.85,2,9,36,9,36
1.85,3,36,84,36,84
1.85,4,84,126,84,126
1.85,5,126,126,126,126
1.85,6,126,84,126,84
1.85,7,84,36,84,36
1.85,8,36,9,36,9
1.85,9,9,1,9,1
1.85,10,1,0,1,0
1.9,0,0,1,0,1
1.9,1,1,9,1,9
1.9,2,9,36,9,36
1.9,3,36,84,36,84
1.9,4,84,126,84,126
1.9,5,126,126,126,126
1.9,6,126,84,126,84
1.9,7,84,36,84,36
1.9,8,36,9,36,9
1.9,9,9,1,9,1
1.9,10,1,0,1,0
1.95,0,0,1,0,1
1.95,1,1,9,1,9
1.95,2,9,36,9,36
1.95,3,36,84,36,84
1.95,4,84,126,84,126
1.95,5,126,126,126,126
1.95,6,126,84,126,84
1.95,7,84,36,84,36
1.95,8,36,9,36,9
1.95,9,9,1,9,1
1.95,10,1,0,1,0
2,0,0,1,0,1
2,1,1,9,1,9
2,2,9,36,9,36
2,3,36,84,36,84
2,4,84,126,84,126
2,5,126,126,126,126
2,6,126,84,126,84
2,7,84,36,84,36
2,8,36,9,36,9
2,9,9,1,9,1
2,10,1,0,1,0
